OC,PP,NN,KK,PH
,12.75292,0.6065,13.99194,100,100
,3.89017,11.29867,4.57835,110,100
,6.73714,1.93393,10.00231,120,100
,7.00205,6.3386,0.60218,130,100
,4.82245,13.11386,8.61626,140,100
,12.4115,5.26787,7.33736,150,100
,8.21524,4.43406,10.45384,160,100
,0.3304,10.86228,4.00742,170,100
,10.41132,14.51164,3.31028,180,100
,12.1567,3.13991,2.70661,190,100
,15.34106,5.71738,6.09853,200,100
,12.49057,14.88247,10.76986,100,103
,0.27898,0.78453,10.88794,110,103
,9.19792,14.49238,6.05267,120,103
,13.54586,1.13663,4.84554,130,103
,8.96816,11.9212,5.91938,140,103
,6.20576,8.78807,14.70825,150,103
,1.7396,3.03679,12.80279,160,103
,0.14809,6.76755,9.93827,170,103
,1.6749,5.54926,2.07359,180,103
,4.2674,9.5896,7.77058,190,103
,11.97844,12.21284,10.38655,200,103
,3.49822,11.44676,1.1507,100,106
,8.93112,15.84341,14.04551,110,106
,7.59644,14.918,9.04362,120,106
,13.21453,3.29727,9.09937,130,106
,14.04575,10.25393,14.90033,140,106
,6.05084,4.03594,8.64461,150,106
,10.53754,0.11664,12.7046,160,106
,3.47546,0.51753,14.61558,170,106
,0.7246,10.64606,13.99506,180,106
,1.59007,3.07805,14.21999,190,106
,14.25259,15.63273,14.94315,200,106
,7.27199,12.272,15.61185,100,109
,8.06482,14.66537,14.40665,110,109
,0.25434,4.34713,3.81789,120,109
,14.99519,12.83535,12.91174,130,109
,4.25445,13.14062,8.14901,140,109
,14.61017,3.73102,12.05004,150,109
,14.62634,14.47102,11.98425,160,109
,0.742,10.39284,6.95467,170,109
,7.9101,13.56133,6.46634,180,109
,12.8868,6.29624,4.97938,190,109
,6.06213,5.18403,13.4937,200,109
,11.55244,9.13226,2.92217,100,112
,10.52434,12.32715,10.33547,110,112
,7.45025,2.99985,2.43303,120,112
,10.17302,6.74304,0.82734,130,112
,15.46446,13.43864,15.78116,140,112
,0.05624,14.55552,10.46805,150,112
,9.53975,6.83614,11.58172,160,112
,3.83944,11.43832,14.12939,170,112
,2.46195,13.29708,12.6135,180,112
,10.16573,8.63337,11.81615,190,112
,7.33799,5.4885,1.33038,200,112
,14.35389,10.70276,4.86368,100,115
,12.64961,13.6479,13.70866,110,115
,12.58277,10.91197,6.06463,120,115
,1.26843,5.54015,10.09352,130,115
,14.74246,12.5127,12.65268,140,115
,7.43371,1.46259,0.71314,150,115
,3.53977,8.55306,2.54155,160,115
,9.52995,15.15754,0.76914,170,115
,7.46978,3.33958,6.16289,180,115
,2.29844,4.64665,0.44974,190,115
,8.56604,0.9338,12.29272,200,115
,0.47424,3.08063,11.04838,100,118
,14.94064,0.79276,5.49507,110,118
,9.10081,5.8219,13.46869,120,118
,4.6416,10.82663,14.5349,130,118
,14.46865,15.61294,6.33415,140,118
,0.68962,15.59244,10.27149,150,118
,7.97544,10.2275,13.82163,160,118
,4.99764,15.33613,7.91412,170,118
,0.13465,5.14489,0.91191,180,118
,2.37656,12.78159,8.45236,190,118
,5.02588,5.39002,13.16568,200,118
,1.47458,7.09117,3.39814,100,121
,2.77722,10.49115,4.14374,110,121
,1.20607,14.31191,11.38778,120,121
,7.64854,13.49768,13.26092,130,121
,3.79847,9.71297,3.11044,140,121
,2.34374,4.24474,0.51503,150,121
,2.28782,10.04261,12.63416,160,121
,13.07388,8.9768,5.54101,170,121
,10.44532,5.86838,13.2756,180,121
,1.51058,1.35382,11.65579,190,121
,0.23274,6.95086,15.58102,200,121
